v1	I(D1)
0.000000000000000e+000	2.415979e-001
1.000000000000000e-002	2.416375e-001
2.000000000000000e-002	2.416792e-001
3.000000000000000e-002	2.417232e-001
4.000000000000000e-002	2.417697e-001
5.000000000000000e-002	2.418187e-001
6.000000000000001e-002	2.418707e-001
7.000000000000001e-002	2.419259e-001
8.000000000000000e-002	2.419845e-001
9.000000000000000e-002	2.420470e-001
9.999999999999999e-002	2.421138e-001
1.100000000000000e-001	2.421854e-001
1.200000000000000e-001	2.422625e-001
1.300000000000000e-001	2.423458e-001
1.400000000000000e-001	2.424364e-001
1.500000000000000e-001	2.425357e-001
1.600000000000000e-001	2.426453e-001
1.700000000000000e-001	2.427680e-001
1.800000000000000e-001	2.429075e-001
1.900000000000000e-001	2.430704e-001
2.000000000000000e-001	2.432688e-001
2.100000000000001e-001	2.435331e-001
2.200000000000001e-001	2.440560e-001
2.300000000000001e-001	2.527723e-001
2.400000000000001e-001	2.619853e-001
2.500000000000001e-001	2.712221e-001
2.600000000000001e-001	2.804818e-001
2.700000000000001e-001	2.897637e-001
2.800000000000001e-001	2.990671e-001
2.900000000000001e-001	3.083914e-001
3.000000000000001e-001	3.177357e-001
3.100000000000001e-001	3.270997e-001
3.200000000000001e-001	3.364827e-001
3.300000000000001e-001	3.458841e-001
3.400000000000001e-001	3.553033e-001
3.500000000000001e-001	3.647400e-001
3.600000000000002e-001	3.741934e-001
3.700000000000002e-001	3.836632e-001
3.800000000000002e-001	3.931489e-001
3.900000000000002e-001	4.026499e-001
4.000000000000002e-001	4.121659e-001
4.100000000000002e-001	4.216963e-001
4.200000000000002e-001	4.312407e-001
4.300000000000002e-001	4.407988e-001
4.400000000000002e-001	4.503700e-001
4.500000000000002e-001	4.599541e-001
4.600000000000002e-001	4.695506e-001
4.700000000000003e-001	4.791591e-001
4.800000000000003e-001	4.887792e-001
4.900000000000003e-001	4.984107e-001
5.000000000000002e-001	5.080531e-001
5.100000000000002e-001	5.177062e-001
5.200000000000002e-001	5.273696e-001
5.300000000000003e-001	5.370429e-001
5.400000000000003e-001	5.467259e-001
5.500000000000003e-001	5.564183e-001
5.600000000000003e-001	5.661197e-001
5.700000000000003e-001	5.758300e-001
5.800000000000003e-001	5.855488e-001
5.900000000000003e-001	5.952758e-001
6.000000000000003e-001	6.050108e-001
6.100000000000003e-001	6.147535e-001
6.200000000000003e-001	6.245038e-001
6.300000000000003e-001	6.342613e-001
6.400000000000004e-001	6.440259e-001
6.500000000000004e-001	6.537973e-001
6.600000000000004e-001	6.635752e-001
6.700000000000004e-001	6.733596e-001
6.800000000000004e-001	6.831501e-001
6.900000000000004e-001	6.929466e-001
7.000000000000004e-001	7.027489e-001
7.100000000000004e-001	7.125568e-001
7.200000000000004e-001	7.223701e-001
7.300000000000004e-001	7.321888e-001
7.400000000000004e-001	7.420124e-001
7.500000000000004e-001	7.518410e-001
7.600000000000005e-001	7.616744e-001
7.700000000000005e-001	7.715124e-001
7.800000000000005e-001	7.813548e-001
7.900000000000005e-001	7.912016e-001
8.000000000000005e-001	8.010526e-001
8.100000000000005e-001	8.109075e-001
8.200000000000005e-001	8.207664e-001
8.300000000000005e-001	8.306291e-001
8.400000000000005e-001	8.404955e-001
8.500000000000005e-001	8.503653e-001
8.600000000000005e-001	8.602387e-001
8.700000000000006e-001	8.701153e-001
8.800000000000006e-001	8.799951e-001
8.900000000000006e-001	8.898781e-001
9.000000000000006e-001	8.997640e-001
9.100000000000006e-001	9.096528e-001
9.200000000000006e-001	9.195445e-001
9.300000000000006e-001	9.294388e-001
9.400000000000006e-001	9.393358e-001
9.500000000000006e-001	9.492353e-001
9.600000000000006e-001	9.591373e-001
9.700000000000006e-001	9.690416e-001
9.800000000000007e-001	9.789482e-001
9.900000000000007e-001	9.888571e-001
1.000000000000001e+000	9.987680e-001
1.010000000000001e+000	1.008681e+000
1.020000000000001e+000	1.018596e+000
1.030000000000001e+000	1.028513e+000
1.040000000000001e+000	1.038432e+000
1.050000000000001e+000	1.048353e+000
1.060000000000001e+000	1.058275e+000
1.070000000000001e+000	1.068199e+000
1.080000000000001e+000	1.078125e+000
1.090000000000001e+000	1.088052e+000
1.100000000000001e+000	1.097981e+000
1.110000000000001e+000	1.107911e+000
1.120000000000001e+000	1.117843e+000
1.130000000000001e+000	1.127776e+000
1.140000000000001e+000	1.137711e+000
1.150000000000001e+000	1.147646e+000
1.160000000000001e+000	1.157583e+000
1.170000000000001e+000	1.167521e+000
1.180000000000001e+000	1.177461e+000
1.190000000000001e+000	1.187401e+000
1.200000000000001e+000	1.197344e+000
1.210000000000001e+000	1.207319e+000
1.220000000000001e+000	1.217294e+000
1.230000000000001e+000	1.227269e+000
1.240000000000001e+000	1.237244e+000
1.250000000000001e+000	1.247219e+000
1.260000000000001e+000	1.257193e+000
1.270000000000001e+000	1.267168e+000
1.280000000000001e+000	1.277143e+000
1.290000000000001e+000	1.287117e+000
1.300000000000001e+000	1.297092e+000
1.310000000000001e+000	1.307066e+000
1.320000000000001e+000	1.317040e+000
1.330000000000001e+000	1.327014e+000
1.340000000000001e+000	1.336988e+000
1.350000000000001e+000	1.346962e+000
1.360000000000001e+000	1.356935e+000
1.370000000000001e+000	1.366907e+000
1.380000000000001e+000	1.376877e+000
1.390000000000001e+000	1.386844e+000
1.400000000000001e+000	1.396806e+000
1.410000000000001e+000	1.406756e+000
1.420000000000001e+000	1.416686e+000
1.430000000000001e+000	1.424852e+000
1.440000000000001e+000	1.426476e+000
1.450000000000001e+000	1.427383e+000
1.460000000000001e+000	1.427991e+000
1.470000000000001e+000	1.428412e+000
1.480000000000001e+000	1.428704e+000
1.490000000000001e+000	1.428912e+000
1.500000000000001e+000	1.429058e+000
1.510000000000001e+000	1.429157e+000
1.520000000000001e+000	1.429223e+000
1.530000000000001e+000	1.429267e+000
1.540000000000001e+000	1.429296e+000
1.550000000000001e+000	1.429316e+000
1.560000000000001e+000	1.429328e+000
1.570000000000001e+000	1.429336e+000
1.580000000000001e+000	1.429342e+000
1.590000000000001e+000	1.429345e+000
1.600000000000001e+000	1.429348e+000
1.610000000000001e+000	1.429349e+000
1.620000000000001e+000	1.429350e+000
1.630000000000001e+000	1.429351e+000
1.640000000000001e+000	1.429351e+000
1.650000000000001e+000	1.429351e+000
1.660000000000001e+000	1.429351e+000
1.670000000000001e+000	1.429352e+000
1.680000000000001e+000	1.429352e+000
1.690000000000001e+000	1.429352e+000
1.700000000000001e+000	1.429352e+000
1.710000000000001e+000	1.429352e+000
1.720000000000001e+000	1.429352e+000
1.730000000000001e+000	1.429352e+000
1.740000000000001e+000	1.429352e+000
1.750000000000001e+000	1.429352e+000
1.760000000000001e+000	1.429352e+000
1.770000000000001e+000	1.429352e+000
1.780000000000001e+000	1.429352e+000
1.790000000000001e+000	1.429352e+000
1.800000000000001e+000	1.429352e+000
1.810000000000001e+000	1.429352e+000
1.820000000000001e+000	1.429352e+000
1.830000000000001e+000	1.429352e+000
1.840000000000001e+000	1.429352e+000
1.850000000000001e+000	1.429352e+000
1.860000000000001e+000	1.429352e+000
1.870000000000001e+000	1.429352e+000
