v1	V(n004)
0.000000000000000e+000	8.600000e+000
1.000000000000000e-002	8.028302e+000
2.000000000000000e-002	7.994382e+000
3.000000000000000e-002	7.974852e+000
4.000000000000000e-002	7.960999e+000
5.000000000000000e-002	7.950208e+000
6.000000000000001e-002	7.941336e+000
7.000000000000001e-002	7.933780e+000
8.000000000000000e-002	7.927183e+000
9.000000000000000e-002	7.921317e+000
9.999999999999999e-002	7.916025e+000
1.100000000000000e-001	7.911198e+000
1.200000000000000e-001	7.906753e+000
1.300000000000000e-001	7.902629e+000
1.400000000000000e-001	7.898778e+000
1.500000000000000e-001	7.895162e+000
1.600000000000000e-001	7.891750e+000
1.700000000000000e-001	7.888518e+000
1.800000000000000e-001	7.885445e+000
1.900000000000000e-001	7.882513e+000
2.000000000000000e-001	7.879708e+000
2.100000000000001e-001	7.877017e+000
2.200000000000001e-001	7.874431e+000
2.300000000000001e-001	7.871939e+000
2.400000000000001e-001	7.869534e+000
2.500000000000001e-001	7.867200e+000
2.600000000000001e-001	7.864955e+000
2.700000000000001e-001	7.862770e+000
2.800000000000001e-001	7.860647e+000
2.900000000000001e-001	7.858582e+000
3.000000000000001e-001	7.856573e+000
3.100000000000001e-001	7.854613e+000
3.200000000000001e-001	7.852701e+000
3.300000000000001e-001	7.850834e+000
3.400000000000001e-001	7.849009e+000
3.500000000000001e-001	7.847222e+000
3.600000000000002e-001	7.845473e+000
3.700000000000002e-001	7.843760e+000
3.800000000000002e-001	7.842080e+000
3.900000000000002e-001	7.840431e+000
4.000000000000002e-001	7.838812e+000
4.100000000000002e-001	7.837222e+000
4.200000000000002e-001	7.835658e+000
4.300000000000002e-001	7.834121e+000
4.400000000000002e-001	7.832608e+000
4.500000000000002e-001	7.831119e+000
4.600000000000002e-001	7.829652e+000
4.700000000000003e-001	7.828207e+000
4.800000000000003e-001	7.826782e+000
4.900000000000003e-001	7.825377e+000
5.000000000000002e-001	7.823991e+000
5.100000000000002e-001	7.822623e+000
5.200000000000002e-001	7.821273e+000
5.300000000000003e-001	7.819939e+000
5.400000000000003e-001	7.818622e+000
5.500000000000003e-001	7.817320e+000
5.600000000000003e-001	7.816034e+000
5.700000000000003e-001	7.814762e+000
5.800000000000003e-001	7.813503e+000
5.900000000000003e-001	7.812259e+000
6.000000000000003e-001	7.811027e+000
6.100000000000003e-001	7.809808e+000
6.200000000000003e-001	7.808602e+000
6.300000000000003e-001	7.807407e+000
6.400000000000004e-001	7.806223e+000
6.500000000000004e-001	7.805051e+000
6.600000000000004e-001	7.803889e+000
6.700000000000004e-001	7.802738e+000
6.800000000000004e-001	7.801598e+000
6.900000000000004e-001	7.800466e+000
7.000000000000004e-001	7.799345e+000
7.100000000000004e-001	7.798232e+000
7.200000000000004e-001	7.797129e+000
7.300000000000004e-001	7.796034e+000
7.400000000000004e-001	7.794949e+000
7.500000000000004e-001	7.793871e+000
7.600000000000005e-001	7.792801e+000
7.700000000000005e-001	7.791739e+000
7.800000000000005e-001	7.790685e+000
7.900000000000005e-001	7.789639e+000
8.000000000000005e-001	7.788599e+000
8.100000000000005e-001	7.787567e+000
8.200000000000005e-001	7.786541e+000
8.300000000000005e-001	7.785523e+000
8.400000000000005e-001	7.784511e+000
8.500000000000005e-001	7.783505e+000
8.600000000000005e-001	7.782506e+000
8.700000000000006e-001	7.781513e+000
8.800000000000006e-001	7.780526e+000
8.900000000000006e-001	7.779545e+000
9.000000000000006e-001	7.778569e+000
9.100000000000006e-001	7.777599e+000
9.200000000000006e-001	7.776635e+000
9.300000000000006e-001	7.775676e+000
9.400000000000006e-001	7.774722e+000
9.500000000000006e-001	7.773773e+000
9.600000000000006e-001	7.772830e+000
9.700000000000006e-001	7.771891e+000
9.800000000000007e-001	7.770957e+000
9.900000000000007e-001	7.770028e+000
1.000000000000001e+000	7.769104e+000
1.010000000000001e+000	7.768183e+000
1.020000000000001e+000	7.767268e+000
1.030000000000001e+000	7.766357e+000
1.040000000000001e+000	7.765450e+000
1.050000000000001e+000	7.764547e+000
1.060000000000001e+000	7.763649e+000
1.070000000000001e+000	7.762754e+000
1.080000000000001e+000	7.761864e+000
