v1	I(D1)
0.000000000000000e+000	2.345542e-015
1.000000000000000e-002	9.638889e-003
2.000000000000000e-002	1.953251e-002
3.000000000000000e-002	2.942771e-002
4.000000000000000e-002	3.932356e-002
5.000000000000000e-002	4.921975e-002
6.000000000000001e-002	5.911616e-002
7.000000000000001e-002	6.901273e-002
8.000000000000000e-002	7.890940e-002
9.000000000000000e-002	8.880617e-002
9.999999999999999e-002	9.870299e-002
1.100000000000000e-001	1.085999e-001
1.200000000000000e-001	1.184968e-001
1.300000000000000e-001	1.283938e-001
1.400000000000000e-001	1.382908e-001
1.500000000000000e-001	1.481878e-001
1.600000000000000e-001	1.580848e-001
1.700000000000000e-001	1.679819e-001
1.800000000000000e-001	1.778790e-001
1.900000000000000e-001	1.877761e-001
2.000000000000000e-001	1.976732e-001
2.100000000000001e-001	2.075703e-001
2.200000000000001e-001	2.174675e-001
2.300000000000001e-001	2.273646e-001
2.400000000000001e-001	2.372618e-001
2.500000000000001e-001	2.471590e-001
2.600000000000001e-001	2.570561e-001
2.700000000000001e-001	2.669533e-001
2.800000000000001e-001	2.768505e-001
2.900000000000001e-001	2.867477e-001
3.000000000000001e-001	2.966450e-001
3.100000000000001e-001	3.065422e-001
3.200000000000001e-001	3.164394e-001
3.300000000000001e-001	3.263366e-001
3.400000000000001e-001	3.362339e-001
3.500000000000001e-001	3.461311e-001
3.600000000000002e-001	3.560283e-001
3.700000000000002e-001	3.659256e-001
3.800000000000002e-001	3.758228e-001
3.900000000000002e-001	3.857201e-001
4.000000000000002e-001	3.892302e-001
4.100000000000002e-001	3.892303e-001
4.200000000000002e-001	3.892303e-001
4.300000000000002e-001	3.892303e-001
4.400000000000002e-001	3.892304e-001
4.500000000000002e-001	3.892304e-001
4.600000000000002e-001	3.892304e-001
4.700000000000003e-001	3.892304e-001
4.800000000000003e-001	3.892304e-001
4.900000000000003e-001	3.892304e-001
5.000000000000002e-001	3.892304e-001
5.100000000000002e-001	3.892304e-001
5.200000000000002e-001	3.892304e-001
5.300000000000003e-001	3.892304e-001
5.400000000000003e-001	3.892304e-001
5.500000000000003e-001	3.892304e-001
5.600000000000003e-001	3.892304e-001
5.700000000000003e-001	3.892304e-001
5.800000000000003e-001	3.892304e-001
5.900000000000003e-001	3.892304e-001
6.000000000000003e-001	3.892304e-001
6.100000000000003e-001	3.892304e-001
6.200000000000003e-001	3.892304e-001
6.300000000000003e-001	3.892304e-001
6.400000000000004e-001	3.892304e-001
6.500000000000004e-001	3.892304e-001
6.600000000000004e-001	3.892304e-001
6.700000000000004e-001	3.892304e-001
6.800000000000004e-001	3.892304e-001
6.900000000000004e-001	3.892304e-001
7.000000000000004e-001	3.892304e-001
7.100000000000004e-001	3.892304e-001
7.200000000000004e-001	3.892304e-001
7.300000000000004e-001	3.892304e-001
7.400000000000004e-001	3.892304e-001
7.500000000000004e-001	3.892304e-001
7.600000000000005e-001	3.892304e-001
7.700000000000005e-001	3.892304e-001
7.800000000000005e-001	3.892304e-001
7.900000000000005e-001	3.892304e-001
8.000000000000005e-001	3.892304e-001
8.100000000000005e-001	3.892304e-001
8.200000000000005e-001	3.892304e-001
8.300000000000005e-001	3.892304e-001
8.400000000000005e-001	3.892304e-001
8.500000000000005e-001	3.892304e-001
8.600000000000005e-001	3.892304e-001
8.700000000000006e-001	3.892304e-001
8.800000000000006e-001	3.892304e-001
8.900000000000006e-001	3.892304e-001
9.000000000000006e-001	3.892304e-001
9.100000000000006e-001	3.892304e-001
9.200000000000006e-001	3.892304e-001
9.300000000000006e-001	3.892304e-001
9.400000000000006e-001	3.892304e-001
9.500000000000006e-001	3.892304e-001
9.600000000000006e-001	3.892304e-001
9.700000000000006e-001	3.892304e-001
9.800000000000007e-001	3.892304e-001
9.900000000000007e-001	3.892304e-001
1.000000000000001e+000	3.892304e-001
1.010000000000001e+000	3.892304e-001
1.020000000000001e+000	3.892304e-001
1.030000000000001e+000	3.892304e-001
1.040000000000001e+000	3.892304e-001
1.050000000000001e+000	3.892304e-001
1.060000000000001e+000	3.892304e-001
1.070000000000001e+000	3.892304e-001
1.080000000000001e+000	3.892106e-001
1.090000000000001e+000	3.888412e-001
1.100000000000001e+000	3.881910e-001
1.110000000000001e+000	3.878645e-001
1.120000000000001e+000	3.878454e-001
1.130000000000001e+000	3.878264e-001
1.140000000000001e+000	3.878073e-001
1.150000000000001e+000	3.877882e-001
1.160000000000001e+000	3.877692e-001
1.170000000000001e+000	3.877501e-001
1.180000000000001e+000	3.877310e-001
1.190000000000001e+000	3.877120e-001
1.200000000000001e+000	3.876929e-001
1.210000000000001e+000	3.876739e-001
1.220000000000001e+000	3.876548e-001
1.230000000000001e+000	3.876358e-001
1.240000000000001e+000	3.876167e-001
1.250000000000001e+000	3.875977e-001
1.260000000000001e+000	3.875786e-001
1.270000000000001e+000	3.875595e-001
1.280000000000001e+000	3.875405e-001
1.290000000000001e+000	3.875214e-001
1.300000000000001e+000	3.875024e-001
1.310000000000001e+000	3.874833e-001
1.320000000000001e+000	3.874643e-001
1.330000000000001e+000	3.874452e-001
1.340000000000001e+000	3.874261e-001
1.350000000000001e+000	3.874071e-001
1.360000000000001e+000	3.873880e-001
1.370000000000001e+000	3.873690e-001
1.380000000000001e+000	3.873499e-001
1.390000000000001e+000	3.873309e-001
1.400000000000001e+000	3.873118e-001
1.410000000000001e+000	3.872927e-001
1.420000000000001e+000	3.872737e-001
1.430000000000001e+000	3.872546e-001
1.440000000000001e+000	3.872356e-001
1.450000000000001e+000	3.872165e-001
1.460000000000001e+000	3.871975e-001
1.470000000000001e+000	3.871784e-001
1.480000000000001e+000	3.871593e-001
1.490000000000001e+000	3.871403e-001
1.500000000000001e+000	3.871212e-001
1.510000000000001e+000	3.871022e-001
1.520000000000001e+000	3.870831e-001
1.530000000000001e+000	3.870641e-001
1.540000000000001e+000	3.870450e-001
1.550000000000001e+000	3.870260e-001
1.560000000000001e+000	3.870069e-001
1.570000000000001e+000	3.869878e-001
1.580000000000001e+000	3.869688e-001
1.590000000000001e+000	3.869497e-001
1.600000000000001e+000	3.869307e-001
1.610000000000001e+000	3.869116e-001
1.620000000000001e+000	3.868926e-001
1.630000000000001e+000	3.868735e-001
1.640000000000001e+000	3.868544e-001
1.650000000000001e+000	3.868354e-001
1.660000000000001e+000	3.868163e-001
1.670000000000001e+000	3.867973e-001
1.680000000000001e+000	3.867782e-001
1.690000000000001e+000	3.867592e-001
1.700000000000001e+000	3.867401e-001
1.710000000000001e+000	3.867210e-001
1.720000000000001e+000	3.867020e-001
1.730000000000001e+000	3.866829e-001
1.740000000000001e+000	3.866639e-001
1.750000000000001e+000	3.866448e-001
1.760000000000001e+000	3.866258e-001
1.770000000000001e+000	3.866067e-001
1.780000000000001e+000	3.865876e-001
1.790000000000001e+000	3.865686e-001
1.800000000000001e+000	3.865495e-001
1.810000000000001e+000	3.865305e-001
1.820000000000001e+000	3.865114e-001
1.830000000000001e+000	3.864924e-001
1.840000000000001e+000	3.864733e-001
1.850000000000001e+000	3.864543e-001
1.860000000000001e+000	3.864352e-001
1.870000000000001e+000	3.864161e-001
1.880000000000001e+000	3.863971e-001
1.890000000000002e+000	3.863780e-001
1.900000000000002e+000	3.863590e-001
1.910000000000002e+000	3.863399e-001
1.920000000000002e+000	3.863209e-001
1.930000000000002e+000	3.863018e-001
1.940000000000002e+000	3.862827e-001
1.950000000000002e+000	3.862637e-001
1.960000000000002e+000	3.862446e-001
1.970000000000002e+000	3.862256e-001
1.980000000000002e+000	3.862065e-001
1.990000000000002e+000	3.861875e-001
2.000000000000001e+000	3.861684e-001
2.010000000000001e+000	3.861493e-001
2.020000000000001e+000	3.861303e-001
2.030000000000001e+000	3.861112e-001
2.040000000000001e+000	3.860922e-001
2.050000000000000e+000	3.860731e-001
2.060000000000000e+000	3.860541e-001
2.070000000000000e+000	3.860350e-001
2.080000000000000e+000	3.860160e-001
2.089999999999999e+000	3.859969e-001
2.099999999999999e+000	3.859778e-001
2.109999999999999e+000	3.859588e-001
2.119999999999999e+000	3.859397e-001
2.129999999999999e+000	3.859207e-001
2.139999999999998e+000	3.859016e-001
2.149999999999998e+000	3.858826e-001
2.159999999999998e+000	3.858635e-001
2.169999999999998e+000	3.858444e-001
2.179999999999998e+000	3.858254e-001
2.189999999999997e+000	3.858063e-001
2.199999999999997e+000	3.857873e-001
2.209999999999997e+000	3.857682e-001
2.219999999999997e+000	3.857492e-001
2.229999999999996e+000	3.857301e-001
2.239999999999996e+000	3.857110e-001
2.249999999999996e+000	3.856920e-001
2.259999999999996e+000	3.856729e-001
2.269999999999996e+000	3.856539e-001
2.279999999999995e+000	3.856348e-001
2.289999999999995e+000	3.856158e-001
2.299999999999995e+000	3.855967e-001
2.309999999999995e+000	3.855776e-001
2.319999999999995e+000	3.855586e-001
2.329999999999994e+000	3.855395e-001
2.339999999999994e+000	3.855205e-001
2.349999999999994e+000	3.855014e-001
2.359999999999994e+000	3.854824e-001
2.369999999999993e+000	3.854633e-001
2.379999999999993e+000	3.854443e-001
2.389999999999993e+000	3.854252e-001
2.399999999999993e+000	3.854061e-001
2.409999999999993e+000	3.853871e-001
2.419999999999992e+000	3.853680e-001
2.429999999999992e+000	3.853490e-001
2.439999999999992e+000	3.853299e-001
2.449999999999992e+000	3.853109e-001
2.459999999999992e+000	3.852918e-001
2.469999999999991e+000	3.852727e-001
2.479999999999991e+000	3.852537e-001
2.489999999999991e+000	3.852346e-001
2.499999999999991e+000	3.852156e-001
2.509999999999991e+000	3.851965e-001
2.519999999999990e+000	3.851775e-001
2.529999999999990e+000	3.851584e-001
2.539999999999990e+000	3.851393e-001
2.549999999999990e+000	3.851203e-001
2.559999999999989e+000	3.851012e-001
2.569999999999989e+000	3.850822e-001
2.579999999999989e+000	3.850631e-001
2.589999999999989e+000	3.850441e-001
2.599999999999989e+000	3.850250e-001
2.609999999999988e+000	3.850060e-001
2.619999999999988e+000	3.849869e-001
2.629999999999988e+000	3.849678e-001
2.639999999999988e+000	3.849488e-001
2.649999999999988e+000	3.849297e-001
2.659999999999987e+000	3.849107e-001
2.669999999999987e+000	3.848916e-001
2.679999999999987e+000	3.848726e-001
2.689999999999987e+000	3.848535e-001
2.699999999999986e+000	3.848345e-001
2.709999999999986e+000	3.848154e-001
2.719999999999986e+000	3.847964e-001
2.729999999999986e+000	3.847773e-001
2.739999999999986e+000	3.847582e-001
2.749999999999985e+000	3.847392e-001
2.759999999999985e+000	3.847201e-001
2.769999999999985e+000	3.847011e-001
2.779999999999985e+000	3.846820e-001
2.789999999999985e+000	3.846630e-001
2.799999999999984e+000	3.846439e-001
2.809999999999984e+000	3.846248e-001
2.819999999999984e+000	3.846058e-001
2.829999999999984e+000	3.845867e-001
2.839999999999983e+000	3.845677e-001
2.849999999999983e+000	3.845486e-001
2.859999999999983e+000	3.845296e-001
2.869999999999983e+000	3.845105e-001
2.879999999999983e+000	3.844914e-001
2.889999999999982e+000	3.844724e-001
2.899999999999982e+000	3.844533e-001
2.909999999999982e+000	3.844343e-001
2.919999999999982e+000	3.844152e-001
2.929999999999982e+000	3.843962e-001
2.939999999999981e+000	3.843771e-001
2.949999999999981e+000	3.843580e-001
2.959999999999981e+000	3.843390e-001
2.969999999999981e+000	3.843199e-001
2.979999999999980e+000	3.843009e-001
2.989999999999980e+000	3.842818e-001
2.999999999999980e+000	3.842628e-001
3.009999999999980e+000	3.842437e-001
3.019999999999980e+000	3.842247e-001
3.029999999999979e+000	3.842056e-001
3.039999999999979e+000	3.841865e-001
3.049999999999979e+000	3.841675e-001
3.059999999999979e+000	3.841484e-001
3.069999999999979e+000	3.841294e-001
3.079999999999978e+000	3.841103e-001
3.089999999999978e+000	3.840913e-001
3.099999999999978e+000	3.840722e-001
3.109999999999978e+000	3.840532e-001
3.119999999999978e+000	3.840341e-001
3.129999999999977e+000	3.840151e-001
3.139999999999977e+000	3.839960e-001
3.149999999999977e+000	3.839769e-001
3.159999999999977e+000	3.839579e-001
3.169999999999976e+000	3.839388e-001
3.179999999999976e+000	3.839198e-001
3.189999999999976e+000	3.839007e-001
3.199999999999976e+000	3.838817e-001
3.209999999999976e+000	3.838626e-001
3.219999999999975e+000	3.838435e-001
3.229999999999975e+000	3.838245e-001
3.239999999999975e+000	3.838054e-001
3.249999999999975e+000	3.837864e-001
3.259999999999975e+000	3.837673e-001
3.269999999999974e+000	3.837483e-001
3.279999999999974e+000	3.837292e-001
3.289999999999974e+000	3.837101e-001
3.300000000000000e+000	3.836911e-001
