Optical Power Monitor 3.1.3778.562

Power Meter,PM100USB
Power Meter SN,1908005
Sensor,S130VC
Sensor SN,200710110
Sensor Type,Photodiode
Wavelength,640 nm
Range,Auto

Start of Measurement,11/11/2021 12:31:42
Elapsed Time,00:03:04:999
Samples,61381

--Statistics--
Minimum [W],1.9326E-05
Maximum [W],0.00052581
Mean [W],0.00016518
Standard Deviation [W],0.00015673
Ratio,27.207 : 1

--Graph Data--
Time (ms),Power (W)
5.598,2.0425E-05
8.610,2.043E-05
11.913,2.0378E-05
14.911,2.0423E-05
17.901,2.0439E-05
20.905,2.0392E-05
23.916,2.0403E-05
26.902,2.0444E-05
29.898,2.0406E-05
32.912,2.0383E-05
35.890,2.0441E-05
38.905,2.0423E-05
41.914,2.038E-05
44.872,2.0423E-05
47.883,2.0444E-05
50.905,2.0387E-05
53.910,2.0402E-05
56.906,2.0445E-05
60.285,2.0402E-05
63.590,2.0397E-05
66.905,2.045E-05
69.909,2.0406E-05
72.906,2.0386E-05
75.908,2.0438E-05
78.880,2.0423E-05
82.234,2.0376E-05
85.548,2.0434E-05
88.578,2.043E-05
91.551,2.038E-05
94.575,2.041E-05
97.551,2.044E-05
100.577,2.0388E-05
103.562,2.0396E-05
106.580,2.0445E-05
109.588,2.0414E-05
112.565,2.0386E-05
115.557,2.0434E-05
118.549,2.0435E-05
121.550,2.0385E-05
124.547,2.0419E-05
127.554,2.0451E-05
130.541,2.0399E-05
133.880,2.0409E-05
136.824,2.0456E-05
139.873,2.041E-05
142.870,2.0393E-05
145.850,2.0446E-05
149.220,2.0424E-05
152.218,2.0388E-05
155.211,2.0435E-05
158.206,2.0441E-05
161.208,2.0391E-05
164.211,2.0415E-05
167.210,2.0455E-05
170.564,2.0403E-05
173.867,2.0414E-05
176.871,2.0457E-05
179.874,2.0417E-05
182.869,2.0399E-05
185.870,2.0449E-05
188.873,2.044E-05
191.883,2.0394E-05
194.871,2.0436E-05
197.870,2.0456E-05
200.876,2.0401E-05
203.868,2.0415E-05
206.873,2.0461E-05
209.864,2.0419E-05
212.888,2.0394E-05
215.871,2.0444E-05
218.867,2.043E-05
221.867,2.0386E-05
225.208,2.0438E-05
228.201,2.0441E-05
231.143,2.0382E-05
234.162,2.0409E-05
237.162,2.0441E-05
240.503,2.0387E-05
243.536,2.0388E-05
246.542,2.0438E-05
249.541,2.0403E-05
252.509,2.0374E-05
255.587,2.0428E-05
258.555,2.042E-05
261.548,2.0372E-05
264.547,2.0407E-05
267.526,2.0434E-05
270.544,2.0382E-05
273.582,2.0391E-05
276.526,2.0434E-05
279.530,2.0404E-05
282.513,2.0377E-05
285.520,2.043E-05
288.509,2.0426E-05
291.498,2.0377E-05
294.518,2.0414E-05
297.516,2.044E-05
300.518,2.0391E-05
303.509,2.0393E-05
306.516,2.0443E-05
309.518,2.0407E-05
312.503,2.0382E-05
315.520,2.043E-05
318.518,2.043E-05
321.515,2.0381E-05
324.522,2.0415E-05
327.524,2.0444E-05
330.520,2.0393E-05
333.522,2.0398E-05
336.513,2.0444E-05
339.519,2.0414E-05
342.865,2.039E-05
345.846,2.0444E-05
348.867,2.043E-05
351.863,2.0383E-05
354.870,2.0425E-05
357.870,2.0441E-05
360.864,2.0383E-05
363.863,2.0402E-05
366.868,2.0447E-05
369.877,2.0406E-05
372.879,2.0388E-05
375.905,2.0434E-05
379.176,2.0417E-05
382.155,2.0382E-05
385.153,2.043E-05
388.157,2.0434E-05
391.162,2.0378E-05
394.195,2.0406E-05
397.160,2.0441E-05
400.152,2.0391E-05
403.152,2.0386E-05
406.152,2.0433E-05
409.152,2.0409E-05
412.159,2.0375E-05
415.121,2.0418E-05
