v1	V(n004)
0.000000000000000e+000	3.300000e+000
1.000000000000000e-002	2.728302e+000
2.000000000000000e-002	2.694382e+000
3.000000000000000e-002	2.674852e+000
4.000000000000000e-002	2.660999e+000
5.000000000000000e-002	2.650208e+000
6.000000000000001e-002	2.641335e+000
7.000000000000001e-002	2.633780e+000
8.000000000000000e-002	2.627183e+000
9.000000000000000e-002	2.621317e+000
9.999999999999999e-002	2.616025e+000
1.100000000000000e-001	2.611198e+000
1.200000000000000e-001	2.606753e+000
1.300000000000000e-001	2.602629e+000
1.400000000000000e-001	2.598778e+000
1.500000000000000e-001	2.595162e+000
1.600000000000000e-001	2.591750e+000
1.700000000000000e-001	2.588518e+000
1.800000000000000e-001	2.585444e+000
1.900000000000000e-001	2.582513e+000
2.000000000000000e-001	2.579708e+000
2.100000000000001e-001	2.577018e+000
2.200000000000001e-001	2.574431e+000
2.300000000000001e-001	2.571939e+000
2.400000000000001e-001	2.569534e+000
2.500000000000001e-001	2.567208e+000
2.600000000000001e-001	2.564955e+000
2.700000000000001e-001	2.562770e+000
2.800000000000001e-001	2.560647e+000
2.900000000000001e-001	2.558583e+000
3.000000000000001e-001	2.556573e+000
3.100000000000001e-001	2.554613e+000
3.200000000000001e-001	2.552701e+000
3.300000000000001e-001	2.550834e+000
3.400000000000001e-001	2.549008e+000
3.500000000000001e-001	2.547222e+000
3.600000000000002e-001	2.545474e+000
3.700000000000002e-001	2.543760e+000
3.800000000000002e-001	2.542079e+000
3.900000000000002e-001	2.540431e+000
4.000000000000002e-001	2.538812e+000
4.100000000000002e-001	2.537221e+000
4.200000000000002e-001	2.535658e+000
4.300000000000002e-001	2.534121e+000
4.400000000000002e-001	2.532608e+000
4.500000000000002e-001	2.531119e+000
4.600000000000002e-001	2.529652e+000
4.700000000000003e-001	2.528206e+000
4.800000000000003e-001	2.526782e+000
4.900000000000003e-001	2.525377e+000
5.000000000000002e-001	2.523991e+000
5.100000000000002e-001	2.522623e+000
5.200000000000002e-001	2.521273e+000
5.300000000000003e-001	2.519939e+000
5.400000000000003e-001	2.518622e+000
5.500000000000003e-001	2.517320e+000
5.600000000000003e-001	2.516034e+000
5.700000000000003e-001	2.514761e+000
5.800000000000003e-001	2.513503e+000
5.900000000000003e-001	2.512259e+000
6.000000000000003e-001	2.511027e+000
