v1	I(D1)
0.000000000000000e+000	2.345542e-015
1.000000000000000e-002	7.522320e-004
2.000000000000000e-002	1.573859e-003
3.000000000000000e-002	2.396944e-003
4.000000000000000e-002	3.220606e-003
5.000000000000000e-002	4.044578e-003
6.000000000000001e-002	4.868744e-003
7.000000000000001e-002	5.693045e-003
8.000000000000000e-002	6.517442e-003
9.000000000000000e-002	7.341914e-003
9.999999999999999e-002	8.166444e-003
1.100000000000000e-001	8.991021e-003
1.200000000000000e-001	9.815637e-003
1.300000000000000e-001	1.064028e-002
1.400000000000000e-001	1.146496e-002
1.500000000000000e-001	1.228966e-002
1.600000000000000e-001	1.311438e-002
1.700000000000000e-001	1.393912e-002
1.800000000000000e-001	1.476388e-002
1.900000000000000e-001	1.558864e-002
2.000000000000000e-001	1.641343e-002
2.100000000000001e-001	1.723822e-002
2.200000000000001e-001	1.806303e-002
2.300000000000001e-001	1.888784e-002
2.400000000000001e-001	1.971266e-002
2.500000000000001e-001	2.053749e-002
2.600000000000001e-001	2.136233e-002
2.700000000000001e-001	2.218718e-002
2.800000000000001e-001	2.301203e-002
2.900000000000001e-001	2.383689e-002
3.000000000000001e-001	2.466175e-002
3.100000000000001e-001	2.548662e-002
3.200000000000001e-001	2.631149e-002
3.300000000000001e-001	2.713637e-002
3.400000000000001e-001	2.796125e-002
3.500000000000001e-001	2.878613e-002
3.600000000000002e-001	2.961102e-002
3.700000000000002e-001	3.043592e-002
3.800000000000002e-001	3.126081e-002
3.900000000000002e-001	3.208571e-002
4.000000000000002e-001	3.291062e-002
4.100000000000002e-001	3.373552e-002
4.200000000000002e-001	3.456043e-002
4.300000000000002e-001	3.538534e-002
4.400000000000002e-001	3.621025e-002
4.500000000000002e-001	3.703517e-002
4.600000000000002e-001	3.786009e-002
4.700000000000003e-001	3.868501e-002
4.800000000000003e-001	3.950993e-002
4.900000000000003e-001	4.033485e-002
5.000000000000002e-001	4.115978e-002
5.100000000000002e-001	4.198471e-002
5.200000000000002e-001	4.280964e-002
5.300000000000003e-001	4.363457e-002
5.400000000000003e-001	4.445950e-002
5.500000000000003e-001	4.528444e-002
5.600000000000003e-001	4.610937e-002
5.700000000000003e-001	4.693431e-002
5.800000000000003e-001	4.775925e-002
5.900000000000003e-001	4.858419e-002
6.000000000000003e-001	4.940913e-002
6.100000000000003e-001	5.023408e-002
6.200000000000003e-001	5.105902e-002
6.300000000000003e-001	5.188397e-002
6.400000000000004e-001	5.270891e-002
6.500000000000004e-001	5.353386e-002
6.600000000000004e-001	5.435881e-002
6.700000000000004e-001	5.518376e-002
6.800000000000004e-001	5.600871e-002
6.900000000000004e-001	5.683367e-002
7.000000000000004e-001	5.765862e-002
7.100000000000004e-001	5.848357e-002
7.200000000000004e-001	5.930853e-002
7.300000000000004e-001	6.013348e-002
7.400000000000004e-001	6.095844e-002
7.500000000000004e-001	6.178340e-002
7.600000000000005e-001	6.260835e-002
7.700000000000005e-001	6.343331e-002
7.800000000000005e-001	6.425828e-002
7.900000000000005e-001	6.508324e-002
8.000000000000005e-001	6.590819e-002
8.100000000000005e-001	6.673316e-002
8.200000000000005e-001	6.755812e-002
8.300000000000005e-001	6.838308e-002
8.400000000000005e-001	6.920805e-002
8.500000000000005e-001	7.003301e-002
8.600000000000005e-001	7.085798e-002
8.700000000000006e-001	7.168294e-002
8.800000000000006e-001	7.250791e-002
8.900000000000006e-001	7.333288e-002
9.000000000000006e-001	7.415785e-002
9.100000000000006e-001	7.498281e-002
9.200000000000006e-001	7.580779e-002
9.300000000000006e-001	7.663275e-002
9.400000000000006e-001	7.745773e-002
9.500000000000006e-001	7.828269e-002
9.600000000000006e-001	7.910766e-002
9.700000000000006e-001	7.993264e-002
9.800000000000007e-001	8.075761e-002
9.900000000000007e-001	8.158258e-002
1.000000000000001e+000	8.240756e-002
1.010000000000001e+000	8.323253e-002
1.020000000000001e+000	8.405750e-002
1.030000000000001e+000	8.488248e-002
1.040000000000001e+000	8.570746e-002
1.050000000000001e+000	8.653243e-002
1.060000000000001e+000	8.735740e-002
1.070000000000001e+000	8.818238e-002
1.080000000000001e+000	8.900736e-002
1.090000000000001e+000	8.983234e-002
1.100000000000001e+000	9.065731e-002
1.110000000000001e+000	9.148229e-002
1.120000000000001e+000	9.230727e-002
1.130000000000001e+000	9.313224e-002
1.140000000000001e+000	9.395722e-002
1.150000000000001e+000	9.478220e-002
1.160000000000001e+000	9.560718e-002
1.170000000000001e+000	9.643216e-002
1.180000000000001e+000	9.725714e-002
1.190000000000001e+000	9.808213e-002
1.200000000000001e+000	9.890711e-002
1.210000000000001e+000	9.973209e-002
1.220000000000001e+000	1.005571e-001
1.230000000000001e+000	1.013820e-001
1.240000000000001e+000	1.022070e-001
1.250000000000001e+000	1.030320e-001
1.260000000000001e+000	1.038570e-001
1.270000000000001e+000	1.046820e-001
1.280000000000001e+000	1.055070e-001
1.290000000000001e+000	1.063319e-001
1.300000000000001e+000	1.071569e-001
1.310000000000001e+000	1.079819e-001
1.320000000000001e+000	1.088069e-001
1.330000000000001e+000	1.096319e-001
1.340000000000001e+000	1.104569e-001
1.350000000000001e+000	1.112818e-001
